Product name,SKU,Slug,Category,Brand,Quantity,Minimum stock,First price,Second price,Third price,Purchase price (cost),Weight (kg),Barcode,Description,Status,Images
creme cuisson,creme-cuisson,creme-cuisson,product,,60,0,0,0,0,28,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788349965/inventory-system/products/qcqvqczrtj4zffor3axc.webp
croissant amande G,croissant,croissant,P dej,,19,0,7,0,0,7,0,,,Active,
cuillere a glace ,cuillereaglace ,cruillereaglace,product,,2,0,60,0,0,55,0,,,Active,
cumin moulu 100g,88,cumin-moulu,TAWABIL,ABM,23,0,6.5,0,0,6.5,0,,,Active,
danon nature,SPCK YAC BRA DANONE,danon,product,,99,0,2.25,0,0,2.2499,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788350513/inventory-system/products/k39dolta5kzyapuucmp3.webp
datte,89,datte,product,,0,0,70,0,0,70,0,,,Active,
dragone,dragone,dragone,Fruit,,9.5,0,0,0,0,50,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788339271/inventory-system/products/twex75pkmgwud6vodbu4.jpg
emporter burger,328,emporter-burger,product,,35,0,0.9,0,0,0.9,0,,,Active,
emporter carton g,326,emporter-carton-g,product,,386,0,2.2,0,0,2.2,0,,,Active,
emporter carton p,327,emporter-carton-p,product,,640,0,1.8,0,0,1.8,0,,,Active,
emporter takos,329,emporter-takos,product,,116,0,1.2,0,0,1.2,0,,,Active,
felfel  khabra,piment-doux,piment-doux,P dej,,1,0,50,0,0,50,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788708343/inventory-system/products/jt2x17plhws7emebsjbr.jpg
felfel hare,felfel-hare,felfel-hare,product,,3.2,0,0,0,0,8,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788345755/inventory-system/products/r4pbqysodh9ntj4xaa3p.webp
felfel r/o,poivron,poivron,product,,31.3,0,0,0,0,14,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788307168/inventory-system/products/bnkisoado0apkhxt4qfo.jpg
filet de poulet,Filet-de-poulet,filet-poulet-1,product,,285,0,65,0,0,65,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788431739/inventory-system/products/lnhkqpsivxiq25nfle2h.jpg
formage pitza,forpitza,forpitza,formage,,102,0,0,0,0,0,0,,,Active,
fourchette lux,fourchette lux,fourchette,product,,0,0,12,0,0,12,0,,,Active,https://res.cloudinary.com/fkyp6bjc/image/upload/v1789041463/inventory-system/products/z0oujnil3vdukq27je7m.webp
frite congele,26,frite-congele,product,,127,0,48,0,0,48,0,,,Active,https://res.cloudinary.com/fkyp6bjc/image/upload/v1789029223/inventory-system/products/bzmslxxoou0zqq0ve1pi.jpg
fromage parmesan  7ps/kg,FROMAGE PARMESAN 1KG,fromage-parmesan,formage,ABM,62.88,0,160,0,0,160,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788347890/inventory-system/products/wttdcokhfgzshygbukxb.webp
gawza,91,gawza,TAWABIL,ABM,1,0,220,0,0,220,0,,,Active,
gex marmo,marmo,marmo,nettoyage,,4,0,0,0,0,120,0,,,Active,
gingumbre,92,gingumbre,product,,0,0,62,0,0,62,0,,,Active,
hlib coco,hlib-coco,hlib-coco,jus,,0,0,13.5,0,0,13.5,0,,,Active,https://res.cloudinary.com/fkyp6bjc/image/upload/v1789380288/inventory-system/products/btydrnkzcg7cznzykevm.jpg
hlib lawz,hlib-lawz,hlib-lawz,bar,,0,0,91,0,0,62.65,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788617245/inventory-system/products/bohqjgzobstqsrhyaiu0.png
hlib rwz,boisson-de-riz-scollt,boisson-de-riz-scollt,bar,,1,0,32.95,0,0,32.95,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788617500/inventory-system/products/phl7a7irbuukpluzcsrf.jpg
hlib1/2 L,LAIT PASTEURISE DEMI,lait,product,,321,0,4,0,0,4,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788527350/inventory-system/products/h2wiameewvxurekvmaez.jpg
ja3da,ja3da,ja3da,Gumes,,74,0,0,0,0,7,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788333513/inventory-system/products/mfhd2ppstao66xe8vinq.jpg
jbn arabic,jbn-arabic,jbn-arabic,product,,281,0,17,0,0,17,0,,,Active,https://res.cloudinary.com/djv5omejv/image/upload/v1788436683/inventory-system/products/jes3w46nkzrheymo5k0f.jpg
